Reporting Range=["Quarterly"],Select year=["2025"],Select quarter=["4"],Search Term=["couple"],,,,,,,,,,,,,,,,,
Search Frequency Rank,Search Term,Top Clicked Brand #1,Top Clicked Brands #2,Top Clicked Brands #3,Top Clicked Category #1,Top Clicked Category #2,Top Clicked Category #3,Top Clicked Product #1: ASIN,Top Clicked Product #1: Product Title,Top Clicked Product #1: Click Share,Top Clicked Product #1: Conversion Share,Top Clicked Product #2: ASIN,Top Clicked Product #2: Product Title,Top Clicked Product #2: Click Share,Top Clicked Product #2: Conversion Share,Top Clicked Product #3: ASIN,Top Clicked Product #3: Product Title,Top Clicked Product #3: Click Share,Top Clicked Product #3: Conversion Share,Reporting Date
13511,couple gifts,JIMBON,,Luna Bean,Home,Toys,Kitchen,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",6.34,3.4,B01E4LWBLQ,Luna Bean Hand Casting Kit – The Original Hand Mold Kit for Couples – Valentines Day Gifts for Her and Him - Anniversary Engagement Gifts for Women Men Mom Wife Boyfriend Girlfriend Wedding Bridal,3.71,4.76,B08X94JGJ1,"Thanksgiving Nuts Gift Basket - Assortment of Sweet & Roasted Salted Gourmet Nuts - Assorted Food Gift Box for Christmas, Holiday, Family, Sympathy, Men & Women.",2.91,0.78,12/31/2025
17937,couple costumes for adults,Spooktacular Creations,JenPen,PIIDUOO,Apparel,Toys,Home,B0FH45XBQH,JenPen 9 Pcs Halloween Adult Couple Costume Men's Black and White Striped Suit Women's Costume Cosplay Set Red Gothic Wedding(X-Large),5.85,0.2,B0CYGZMZP5,"Spooktacular Creations Plug and Socket Halloween Costume Adult, Plug and Outlet Couples USB Costume for Halloween Cosplay Party (Small)",2.95,0.4,B07CN59XV4,Rasta Imposta Deer in Headlights Couple Costume,2.02,0.67,12/31/2025
20153,the couple next door,,Penguin Random House,AUDIBLE,Digital_Video_Download,Books,Digital_Ebook_Purchase,B0DCWMN3J7,The Couple Next Door - Season 1,26.55,0,B0DK9T93ZB,The Couple Next Door,17.41,0,B0FPPQ3PN9,The Couple Next Door - Season 2,11.71,0,12/31/2025
33444,anniversary gift for couple,FreeJac,Luna Bean,Biching,Home,Kitchen,Guild,B0D6R1WN8L,"Anniversary Candle - Aniversario Gifts for Men, Women & Couples - Romantic Gifts for Him, Her - 6oz",4.84,6.4,B01E4LWBLQ,Luna Bean Hand Casting Kit – The Original Hand Mold Kit for Couples – Valentines Day Gifts for Her and Him - Anniversary Engagement Gifts for Women Men Mom Wife Boyfriend Girlfriend Wedding Bridal,3.59,4.03,B091YKMS28,"JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding",3.36,1.25,12/31/2025
41568,couple christmas pajamas,Ekouaer,SWOMOG,U2SKIIN,Apparel,Sports,Guild,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",3.64,0.28,B0DL57XC87,"iHapHap I Have Everything I Want Christmas Couples Christmas Matching Pajamas Set For Couples(XL,Mom)",2.57,0.19,B0B76TPBF6,"Ekouaer Matching Pajamas For Couples Christmas Pj Set Long Sleeve Lounge Festival Party Sleepwear,White Pattern,Women,S",2.21,0.09,12/31/2025
44544,couple costumes,Spooktacular Creations,JenPen,PIIDUOO,Apparel,Toys,Home,B0FH45TWKS,JenPen 9 Pcs Halloween Adult Couple Costume Men's Black and White Striped Suit Women's Costume Cosplay Set Red Gothic Wedding(Medium),3.55,0,B0DRF6NRDH,XYJKIDSES Couple Inflatable Dachshund Costume for Adult Halloween Blow Up Costumes 2 People Funny Dog Costumes for Men Women Cosplay,2.47,0.41,B07CN59XV4,Rasta Imposta Deer in Headlights Couple Costume,2.44,1.03,12/31/2025
49341,couple sex toys,BuzzNest,Tracy's Dog,ZOOPLOU,Health & Personal Care,Toys,Biss,B0FJRR1XJ1,"Couples Wearable Vibrator for Women, Butterfly Panty Vibrator with Remote & App Control, Quiet Waterproof Wireless Clitoral Stimulator, 10 Vibration Modes",15.43,0.91,B0F2F6RSZP,"Couples Rose App Remote Control Wearable Vibrator, Couple Women Adult Sex Toys Games for Men, Hands Free Panty Clitoris Vibrator Vibrating Cock Ring, ZOOPLOU BDSM Female Sex Toy Clitoral Stimulator",6.04,4.06,B0FDK6JSN4,"Vorenza Sex Toys Adult Toys, Sex Pillow Position Cushion Triangle Inflatable Position Pillow, Couples Sex Toys Sex Wedge Velvet Pillow for Bedroom, Sex Accessories for Men Women Couples",4.34,0.8,12/31/2025
53160,couple halloween costumes,Spooktacular Creations,Funnlot,,Apparel,Toys,Home,B07W45HH8M,"Spooktacular Creations Plug and Socket Halloween Costume Adult, Plug and Outlet Couples USB Costume for Halloween Cosplay Party (Medium)",4.55,1.61,B0FH4KDSC7,JenPen 9 Pcs Halloween Adult Couple Costume Men's Black and White Striped Suit Women's Costume Cosplay Set Red Gothic Wedding(Large),3.44,0,B0DRF6NRDH,XYJKIDSES Couple Inflatable Dachshund Costume for Adult Halloween Blow Up Costumes 2 People Funny Dog Costumes for Men Women Cosplay,3.28,0.4,12/31/2025
62705,couple bracelets,TOTWOO,Bond Touch,UNGENT THEM,Jewelry,Guild,Wireless,B0DWXP5RFV,"BOND TOUCH 4 Bracelet - Long-Distance Relationship Smart Bracelet for Couples to Feel Connected (2 Units) Long Battery Life, Bluetooth Connection, Haptic Vibration, Compatible with iOS and Android",4.15,0.41,B0DD3CQNTM,"TOTWOO Long Distance Touch Bracelets for Couples, Vibration & Light up for Love Couples Bracelets | Long Distance Relationship Gifts for Girlfriend Bluetooth Pairing Jewelry",3.93,0.33,B0F7HC6MBN,ABYST Permanent Bracelet Kit for Couples - DIY Sterling Forever Bracelets Making Set with Gold Plated Chains - Romantic Infinity Jewelry for Anniversary (Gold),3.81,0.74,12/31/2025
70321,couple games,WHAT DO YOU MEME?,DSS Games,KAWAII KOI,Toys,Books,Guild,B0CR4G7CPD,"The Ultimate Date Night Game by Relatable, Great for Couples Games and Stay at Home Date Night Ideas, From The Makers of Let's Get Deep Relationship Card Game, Includes 300 Cards & Spinner",26.96,15.4,B08PQ14F57,"WHAT DO YOU MEME? Let's Get Deep by Relatable, A Question Card Game for Couples, Fun for Date Night Ideas, Wedding Gifts for Couples, Includes 300 Cards to Build Up Intimacy",7.73,5.13,B09PMQRSPF,"DSS Games The Couples Game That's Actually Fun [Date Night, Idea, Relationship Card Game, Pair Activity, Prime Deal, 2 Players for Adults, Gift for Her, Gift for Him]",6.77,6.21,12/31/2025
79557,christmas pajamas couple,Ekouaer,SWOMOG,U2SKIIN,Apparel,Sports,Biss,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",2.97,0.17,B0FMFJYTZZ,Cuddomper Couples Christmas Matching Pajamas Set Womens Funny Xmas Plaid Pjs 2 Piece Family Holiday Pyjamas Loungewear Sleepwear Long Sleeve Button Down Red Green Drawstring Pants with Pockets XL,2.81,0.17,B0FNN5FHXK,FAYALEQ Christmas Matching Pajamas for Couples Long Sleeve Xmas Plaid Soft Pullover Pjs Set for Men and Women Holiday One Set,2.48,0,12/31/2025
84467,couple costume,Spooktacular Creations,PIIDUOO,JenPen,Apparel,Toys,Home,B0DRF6NRDH,XYJKIDSES Couple Inflatable Dachshund Costume for Adult Halloween Blow Up Costumes 2 People Funny Dog Costumes for Men Women Cosplay,3.47,1.2,B07W45HH8M,"Spooktacular Creations Plug and Socket Halloween Costume Adult, Plug and Outlet Couples USB Costume for Halloween Cosplay Party (Medium)",3.27,1.2,B0FH45TWKS,JenPen 9 Pcs Halloween Adult Couple Costume Men's Black and White Striped Suit Women's Costume Cosplay Set Red Gothic Wedding(Medium),2.86,0.3,12/31/2025
89749,couple christmas pajamas matching sets,Ekouaer,SWOMOG,iHapHap,Apparel,Guild,Softlines_Private_Label,B08HC98GX2,"U2SKIIN Couple Pajama Sets, Plaid Pajama Set for Men and Women Soft Warm Pjs Set Black/Red-Black Plaid Womens Medium",3.47,0,B0DL595FKW,"iHapHap I Have Everything I Want Christmas Couples Christmas Matching Pajamas Set For Couples(S,Mom)",3.32,0,B0B76TPBF6,"Ekouaer Matching Pajamas For Couples Christmas Pj Set Long Sleeve Lounge Festival Party Sleepwear,White Pattern,Women,S",2.31,0.34,12/31/2025
