Reporting Range=["Quarterly"],Select year=["2025"],Select quarter=["4"],Search Term=["kid"],,,,,,,,,,,,,,,,,
Search Frequency Rank,Search Term,Top Clicked Brand #1,Top Clicked Brands #2,Top Clicked Brands #3,Top Clicked Category #1,Top Clicked Category #2,Top Clicked Category #3,Top Clicked Product #1: ASIN,Top Clicked Product #1: Product Title,Top Clicked Product #1: Click Share,Top Clicked Product #1: Conversion Share,Top Clicked Product #2: ASIN,Top Clicked Product #2: Product Title,Top Clicked Product #2: Click Share,Top Clicked Product #2: Conversion Share,Top Clicked Product #3: ASIN,Top Clicked Product #3: Product Title,Top Clicked Product #3: Click Share,Top Clicked Product #3: Conversion Share,Reporting Date
2324,diary of a wimpy kid,Amulet Books,,Abrams Books,Books,Digital_Video_Download,Digital_Ebook_Purchase,141978269X,Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20) (Volume 20),29.4,38.91,B0051XV5Y6,Diary of a Wimpy Kid: The hilarious first book in the #1 international bestselling series about surviving middle school (Book 1) (Volume 1),5.46,5.99,B0DX1VLZQ8,Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20),4.68,0.4,12/31/2025
6395,billy the kid,,CAPITOL NASHVILLE,CREATESPACE,Digital_Video_Download,Books,Digital_Music_Purchase,B0CV4GN7RB,Billy the Kid,21.8,0,B0CVBL7TFX,Billy the Kid - Season 1,15.49,0,B0B1926B8G,The Immigrants,10.53,0,12/31/2025
6637,diary of a wimpy kid party pooper,Amulet Books,AUDIBLE,,Books,Audible,Digital_Ebook_Purchase,141978269X,Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20) (Volume 20),81.95,84.57,B0F2W1XDN2,"Diary of a Wimpy Kid: Partypooper: Diary of a Wimpy Kid, Book 20",7.57,0.04,B0DX1VLZQ8,Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20),3.05,0.53,12/31/2025
9464,diary of a wimpy kid series,Amulet Books,FOLREBAS,Hunnee,Books,Office Products,Digital_Ebook_Purchase,B0FBKC7FVF,FOLREBAS A Library of a Wimppy Kid 1-24 Complete Box Toy Set Paperback,18.8,8.04,141978269X,Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20) (Volume 20),13.6,15.9,1419716697,"Diary of a Wimpy Kid Box of Books 1-4 Hardcover Gift Set: Diary of a Wimpy Kid, Rodrick Rules, The Last Straw, Dog Days",12.78,11.06,12/31/2025
15894,kid toys,JOYIN,TQU,Melissa & Doug,Toys,PC,Camera,B0D46FMQTJ,"4 Pack LCD Writing Tablet for Kids, 8.5 Inch Colorful Doodle Board Drawing Tablet, Educational Learning Toys Birthday Gifts for Boys Girls Age 3 4 5 6 7 8",4.23,3.63,B08HC44TBP,JOYIN Arcade Basketball Game Set with 4 Balls and Hoop for Kids 3 to 12 Years Old Indoor Outdoor Sport Play - Easy Set Up - Air Pump Included - Ideal for Competition,2.1,0.78,B08CLH6Q5J,"Melissa & Doug Super Smile Dentist Play Set, 25-Piece Dentist Kit with Oversized Teeth, Large Tools & Accessories, Kids Toys for Girls & Boys 3+",1.92,0.61,12/31/2025
24595,kid camera,goopow,Seckton,ESOXOFFORE,Camera,Toys,Electronics,B0B68W6ZMT,"Goopow Kids Camera Toys for 3-8 Year Old Girls Boys,Children Digital Video Camcorder Camera with Cartoon Soft Cover, Best Chritmas Birthday Festival Gift for Kids - 32G SD Card Included",9.23,5.41,B087ZTH98B,"Seckton Upgrade Kids Selfie Camera, Christmas Birthday Gifts for Boys Age 3-9, HD Digital Video Cameras for Toddler, Portable Toy for 3 4 5 6 7 8 Year Old Boy with 32GB SD Card-Blue",6.15,1.54,B0D6RMZ3D1,"Kids Camera Boys Toys for 3 4 5 6 7 8 9 Years Old Boys, 48MP Dual Lens Kids Digital Camera Christmas Birthday Gifts, 1080P HD Video Selfie Toddler Camera with 32G SD Card",5.97,4.47,12/31/2025
27441,kid,,Crayola,Callisto Kids,Digital_Video_Download,Toys,Digital_Ebook_Purchase,B07K6XX8TB,The Grinch (2018),3.8,0,B079HTSXY8,Madagascar,3.68,0,B00EIA7TTI,PAW Patrol,2.7,0,12/31/2025
32533,kid tablet,Amazon,PEICHENG,Trayoo,Digital_Text_2,PC,Toys,B0BL8WSCH3,"Amazon Fire 7 Kids tablet (newest model) ages 3-7. Top-selling 7"" kids tablet on Amazon. Includes ad-free and exclusive content, easy parental controls, 10-hr battery, 16 GB, Purple",13.92,6.75,B0BL5C43SL,"Amazon Fire HD 10 Kids Pro tablet, ages 6-12. Bright 10.1"" HD screen, includes ad-free content, robust parental controls, 13-hr battery and slim case for older kids, 32 GB, Happy Day",9.78,3.15,B0C8C2NZMQ,"Amazon Fire 7 Kids tablet (newest model) ages 3-7. Top-selling 7"" kids tablet on Amazon. Includes 6 months of ad-free and exclusive content, easy parental controls, 10-hr battery, 16 GB, Blue",5.9,3.46,12/31/2025
41489,party pooper diary of a wimpy kid,Amulet Books,AUDIBLE,,Books,Audible,Digital_Ebook_Purchase,141978269X,Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20) (Volume 20),80.49,85.52,B0F2W1XDN2,"Diary of a Wimpy Kid: Partypooper: Diary of a Wimpy Kid, Book 20",6.85,0.06,B0DX1VLZQ8,Partypooper: A side-splitting birthday disaster from the #1 international bestselling Diary of a Wimpy Kid series (Book 20),5.63,0.83,12/31/2025
41625,kid games,Hasbro Gaming,,Mattel Games,Toys,Mobile_Apps,Video Games,B00D8STBHY,"Hasbro Gaming Connect 4 Classic Grid,4 in a Row Game,Strategy Board Games for Kids,2 Player .for Family and Kids,Ages 6 and Up",3.55,3.73,B0D2JGYX3F,"Nex Playground - The Active Play System for Kids & Families Where Indoor Physical Activity Meets Interactive Family Fun and is Great for Gaming Nights, Parties and Playdates",2.89,0.12,B0000205X3,"Mattel KerPlunk Kids Game, Easy-to-Learn Family Game for 2 to 4 Players, Don't Let The Marbles Fall",2.56,2.21,12/31/2025
