Reporting Range=["Quarterly"],Select year=["2025"],Select quarter=["3"],Search Term=["memorial"],,,,,,,,,,,,,,,,,
Search Frequency Rank,Search Term,Top Clicked Brand #1,Top Clicked Brands #2,Top Clicked Brands #3,Top Clicked Category #1,Top Clicked Category #2,Top Clicked Category #3,Top Clicked Product #1: ASIN,Top Clicked Product #1: Product Title,Top Clicked Product #1: Click Share,Top Clicked Product #1: Conversion Share,Top Clicked Product #2: ASIN,Top Clicked Product #2: Product Title,Top Clicked Product #2: Click Share,Top Clicked Product #2: Conversion Share,Top Clicked Product #3: ASIN,Top Clicked Product #3: Product Title,Top Clicked Product #3: Click Share,Top Clicked Product #3: Conversion Share,Reporting Date
3465,dog memorial gifts for loss of dog,Yakitoko,Yakitoko,ARUN,Pet Products,Home,Lawn and Garden,B0F9P1P763,"Yakitoko Dog Memorial Gifts for Loss of Dog, Thoughtful Pet Crystal Memorial Sun Catchers, Dog Paw Memorial Gifts, Remembrance Bereavement Gifts for Loss of Pet Sympathy",43.02,0,B0FHH1RN6F,"Yakitoko Dog Memorial Gifts for Loss of Dog, Thoughtful Pet Crystal Memorial Sun Catchers, Dog Paw Memorial Gifts, Remembrance Bereavement Gifts for Loss of Pet Sympathy",35.13,0,B0CNKK2WL2,"Pet Memorial Suncatcher, Dog Memorial Gifts, Pet Loss, Pet Sympathy, Thoughtful Dogs and Cats Remembrance, Bereavement Gifts",1.54,4.08,9/30/2025
6510,pet memorial gifts for dogs,Yakitoko,IDU,ARUN,Pet Products,Home,Office Products,B0FHH1RN6F,"Yakitoko Dog Memorial Gifts for Loss of Dog, Thoughtful Pet Crystal Memorial Sun Catchers, Dog Paw Memorial Gifts, Remembrance Bereavement Gifts for Loss of Pet Sympathy",76.27,0,B0DZV5SR2C,"IDU Pet Sympathy Card for Dog Cat,Loss of Dog Cat Sympathy Gift,Pets Memorial Gifts,Pet Loss Sympathy Gift,Pets Bereavement Gifts with Heartfelt Healing Message Design",2.53,0,B0CNKK2WL2,"Pet Memorial Suncatcher, Dog Memorial Gifts, Pet Loss, Pet Sympathy, Thoughtful Dogs and Cats Remembrance, Bereavement Gifts",1.52,4.1,9/30/2025
8027,pet memorial,Yakitoko,iHeartDogs,ARUN,Pet Products,Home,Lawn and Garden,B0FHH1RN6F,"Yakitoko Dog Memorial Gifts for Loss of Dog, Thoughtful Pet Crystal Memorial Sun Catchers, Dog Paw Memorial Gifts, Remembrance Bereavement Gifts for Loss of Pet Sympathy",87.1,0,B09853W93F,iHeartDogs Dog Memorial Gifts - Forever My Guardian Angel Garden Solar Light - Pet Memorial Stone,0.65,3.51,B0CNKK2WL2,"Pet Memorial Suncatcher, Dog Memorial Gifts, Pet Loss, Pet Sympathy, Thoughtful Dogs and Cats Remembrance, Bereavement Gifts",0.65,3.61,9/30/2025
32200,memorial gifts,HN HAIINAA,Memorialight,Synhonty,Home,Lawn and Garden,Home Improvement,B09QHV8Q7H,"Sympathy Wind Chimes with Hummingbird Wind Spinner, Memorial Wind Chimes for Loss of Loved One Prime, Bereavement/Sympathy/Memorial Gift for Loss of Mother Father Husband Condolence Remembrance",4.04,2.47,B0CR7YHKN3,"Boiveco Memorial Sympathy Gifts for Loss of Loved One, Bereavement Gift for Loss of Mom Dad Memorial Picture Frame, Remembrance Condolence Funeral Sentimental In Memory of Loved One Gifts, Display Two 4x6 Photos",3.24,0.82,B0BLBF6JDD,A Limb Has Fallen from The Family Tree Sympathy Plaque with Wooden Stand In loving memory of loved Wall Decor Table Decor Bereavement Condolences Gifts,2.97,1.58,9/30/2025
51165,memorial wind chimes,Synhonty,Captain Decor,ABEICO,Lawn and Garden,Home,Guild,B09QHV8Q7H,"Sympathy Wind Chimes with Hummingbird Wind Spinner, Memorial Wind Chimes for Loss of Loved One Prime, Bereavement/Sympathy/Memorial Gift for Loss of Mother Father Husband Condolence Remembrance",9.19,5.19,B0DZW94N1T,"Captain Decor 32 Inch Memorial Wind Chimes, Personalized Sympathy Wind Chimes for Loss of Loved One, Memorial Gifts for Loss of Mom, Bereavement Gift for Mother, Father, Brother, Sister",8.47,3.02,B09KNDMXZX,"Memorial Wind Chimes for Outside, Sympathy Wind Chimes for Loss of Loved One, Sympathy/Memorial/Bereavement/Condolence Funeral Gifts for Loss of Mom or Dad, Outdoor Remembrance Gift for Funeral",7.91,5.06,9/30/2025
68873,dog memorial,iHeartDogs,VinaTimes,purefly,Pet Products,Home,Toys,B09853W93F,iHeartDogs Dog Memorial Gifts - Forever My Guardian Angel Garden Solar Light - Pet Memorial Stone,6.46,3.83,B0CM5P6416,vinatimes 8.6'' Pet Shadow Box Memorial Gift Rustic Collar Holder Picture Frame Paw Print Kit Dog Wooden Sculpture Pet Ashes Fur Jar Rainbow Sympathy Gift for Pet Lover Tabletop Wall Hanging PSD-4R,4.51,0.6,B0CSYSPP2F,"PUREFLY Pet Loss Gift, Memorial Sympathy Gifts for Loss of Dog, Pet Memorial Frame with Collar Holder, Cat Memorial Gift, My Hardest Goodbye",4.36,1.48,9/30/2025
81795,five days at memorial,,Broadway Books,CROWN,Digital_Video_Download,Books,Digital_Ebook_Purchase,B0DGXKSFH7,Five Days at Memorial - Season 1,35.09,0,B0D6JZWFKC,Day One,19.95,0,B0DFX3XDP3,Five Days at Memorial,11.47,0,9/30/2025
83076,cat memorial gifts for loss of cat,IDU,BamLue,SHOW-YA,Home,Pet Products,Office Products,B0DZV5SR2C,"IDU Pet Sympathy Card for Dog Cat,Loss of Dog Cat Sympathy Gift,Pets Memorial Gifts,Pet Loss Sympathy Gift,Pets Bereavement Gifts with Heartfelt Healing Message Design",17,0,B0CZMR3P8Q,"BamLue Cat Memorial Suncatcher for Windows Memorial Ornament, Pet Sympathy Gift to Memorialize The Loss, Cat Sun Catchers with Personalized Decorations in Loving Memory for Loss",8.28,8.3,B0D8W65G71,"SHOW-YA Cat Memorial Gifts for Loss of Cat - Pet Memorial Gifts Cat,Loss of Cat Sympathy Gift, Cat Passing Away, Pet Remembrance Gift Cat,Rotating Wooden Cat Picture Frame 4x6 Photo",4.08,1.85,9/30/2025
93772,5 days at memorial,,Broadway Books,CROWN,Digital_Video_Download,Books,Digital_Ebook_Purchase,B0DGXKSFH7,Five Days at Memorial - Season 1,40.29,0,B0D6JZWFKC,Day One,17.4,0,B0DFX3XDP3,Five Days at Memorial,15.72,0,9/30/2025
96914,memorial gifts for loss of mom,HN HAIINAA,Vetbuosa,Synhonty,Home,Lawn and Garden,Home Improvement,B0B6TJS9FS,"Vetbuosa Memorial Gifts for Loss of Mom Picture Frame,Sympathy Gifts for Loss of Mom,Bereavement Remembrance Funeral Condolence Gifts for Loss of Mother,Fits 4x6 In Photo",5.02,2.12,B0CT3NHD4L,"AMBOBE Memorial Sympathy Gifts for Loss of Mom, 32"" Memorial Wind Chimes for Loss of Mother Sympathy Gift, Bereavement Gift for Loss of Mother, Windchimes in Memory of Mom Gifts",3.45,3.21,B0BX9DGH2R,"Memorial Gifts LED Shadow Box - Sympathy Gifts for Loss of Mother, Father & Loved Ones - Dandelion Decor",3.12,0.68,9/30/2025
